Table 1:	Skill levels and the sub-major group structure of SOC 2010 and SOC 2020


"Skill 
Level",Sub-major groups of:,
,SOC2010,SOC2020
Level 4,11 Corporate managers and directors,11 Corporate managers and directors
,"21 Science, research, engineering and technology professionals","21 Science, research, engineering and technology professionals"
,22 Health professionals,22 Health professionals
,23 Teaching and educational professionals,23 Teaching and other educational professionals
,"24 Business, media and public service professionals","24 Business, media and public service professionals"
Level 3,12 Other managers and proprietors,12 Other managers and proprietors
,"31 Science, engineering and technology associate professionals","31 Science, engineering and technology associate professionals"
,32 Health and social care associate professionals,32 Health and social care associate professionals
,33 Protective service occupations,33 Protective service occupations
,"34 Culture, media and sports occupations","34 Culture, media and sports occupations"
,35 Business and public service associate professionals,35 Business and public service associate professionals
,51 Skilled agricultural and related trades,51 Skilled agricultural and related trades
,"52 Skilled metal, electrical and electronic trades","52 Skilled metal, electrical and electronic trades"
,53 Skilled construction and building trades,53 Skilled construction and building trades
,"54 Textiles, printing and other skilled trades","54 Textiles, printing and other skilled trades"
Level 2,41 Administrative occupations,41 Administrative occupations
,42 Secretarial and related occupations,42 Secretarial and related occupations
,61 Caring personal service occupations,61 Caring personal service occupations
,"62 Leisure, travel and related personal service occupations","62 Leisure, travel and related personal service occupations"
," ",63 Community and civil enforcement occupations¹
,71 Sales occupations,71 Sales occupations
,72 Customer service occupations,72 Customer service occupations
,"81 Process, plant and machine operatives","81 Process, plant and machine operatives"
,82 Transport and mobile machine drivers and operatives,82 Transport and mobile machine drivers and operatives
Level 1,91 Elementary trades and related occupations,91 Elementary trades and related occupations
,92 Elementary administration and service occupations,92 Elementary administration and service occupations

Notes
1,New to SOC2020
